,Region,Province Name,Type,Population (2020),Population (2015),Annual Population Growth Rate (2015‑2020),"Area (2013), in km2","Density (2020), per km2",City count,Mun count,Brgy count
6,VI,Iloilo City,"city (HUC), capital, regional center","457,626","447,992",0.45%,78.34,"5,842",–,–,180
7,VI,Negros Occidental,province,"2,623,172","2,497,261",1.04%,"7,844.12",334,12,19,601
0,VII,Bohol,province,"1,394,329","1,313,560",1.26%,"4,772.52",292,1,47,"1,109"
1,VII,Cebu,province,"3,325,385","2,938,982",2.63%,"4,943.72",673,6,44,"1,066"
2,VII,Cebu City,"city (HUC), capital, regional center","964,169","922,611",0.93%,315.00,"3,061",–,–,80
3,VII,Lapu-Lapu,city (HUC),"497,604","408,112",4.26%,58.10,"8,565",–,–,30
4,VII,Mandaue,city (HUC),"364,116","362,654",0.08%,25.18,"14,461",–,–,27
5,VII,Negros Oriental,province,"1,432,990","1,354,995",1.19%,"5,420.57",264,6,19,557
6,VII,Siquijor,province,"103,395","95,984",1.58%,337.49,306,0,6,134
0,VIII,Biliran,province,"179,312","171,612",0.93%,536.01,335,0,8,132
1,VIII,Eastern Samar,province,"477,168","467,160",0.45%,"4,617.16",103,1,22,597
2,VIII,Leyte,province,"1,776,847","1,724,679",0.63%,"6,335.44",280,2,40,"1,503"
3,VIII,Northern Samar,province,"639,186","632,379",0.23%,"3,694.96",173,0,24,569
4,VIII,Samar,province,"793,183","780,481",0.34%,"6,048.03",131,2,24,951
5,VIII,Southern Leyte,province,"429,573","421,750",0.39%,"1,801.46",238,1,18,500
6,VIII,Tacloban,"city (HUC), capital, regional center","251,881","242,089",0.84%,201.72,"1,249",–,–,138
0,IX,Isabela City,"city (CC), capital","130,379","112,788",3.10%,223.73,583,–,–,45
1,IX,Zamboanga City,city (HUC),"977,234","861,799",2.68%,"1,414.70",691,–,–,98
2,IX,Zamboanga del Norte,province,"1,047,455","1,011,393",0.74%,"7,300.11",143,2,25,691
3,IX,Zamboanga del Sur,province,"1,050,668","1,010,674",0.82%,"4,484.21",234,1,26,681
4,IX,Zamboanga Sibugay,province,"669,840","633,129",1.19%,"3,481.28",192,0,16,389
0,X,Bukidnon,province,"1,541,308","1,415,226",1.81%,"10,498.59",147,2,20,464
1,X,Cagayan de Oro,"city (HUC), capital, regional center","728,402","675,950",1.59%,412.80,"1,765",–,–,80
2,X,Camiguin,province,"92,808","88,478",1.01%,241.44,384,0,5,58
3,X,Iligan,city (HUC),"363,115","342,618",1.23%,813.37,446,–,–,44
4,X,Lanao del Norte,province,"722,902","676,395",1.41%,"3,354.16",216,0,22,462
5,X,Misamis Occidental,province,"617,333","602,126",0.53%,"2,006.63",308,3,14,490
6,X,Misamis Oriental,province,"956,900","888,509",1.57%,"3,131.52",306,2,23,424
0,XI,Davao de Oro,province,"767,547","736,107",0.88%,"4,560.09",168,0,11,237
1,XI,Davao City,"city (HUC), regional center","1,776,949","1,632,991",1.79%,"2,443.61",727,–,–,182
2,XI,Davao del Norte,province,"1,125,057","1,016,332",2.16%,"3,422.61",329,3,8,223
3,XI,Davao del Sur,province,"680,481","632,588",1.55%,"2,163.98",314,1,9,232
4,XI,Davao Occidental,province,"317,159","316,342",0.05%,"2,163.45",147,0,5,105
5,XI,Davao Oriental,province,"576,343","558,958",0.65%,"5,679.64",101,1,10,183
0,XII,Cotabato,province,"1,490,618","1,379,747",1.64%,"9,317.30",160,1,17,543
1,XII,Cotabato City,"city (ICC), regional center","325,079","299,438",1.74%,176.00,"1,847",–,–,37
2,XII,General Santos,city (HUC),"697,315","594,446",3.42%,492.86,"1,415",–,–,26
3,XII,Sarangani,province,"558,946","544,261",0.56%,"3,642.16",153,0,7,141
4,XII,South Cotabato,province,"975,476","915,289",1.35%,"3,793.90",257,1,10,199
5,XII,Sultan Kudarat,province,"854,052","812,095",1.07%,"5,363.86",159,1,11,249
0,XIII,Agusan del Norte,province,"387,503","354,503",1.89%,"2,611.63",148,1,10,167
1,XIII,Agusan del Sur,province,"739,367","700,653",1.14%,"9,989.52",74,1,13,314
2,XIII,Butuan,"city (HUC), regional center","372,910","337,063",2.15%,816.62,457,–,–,86
3,XIII,Dinagat Islands,province,"128,117","127,152",0.16%,817.47,157,0,7,100
4,XIII,Surigao del Norte,province,"534,636","485,088",2.07%,"1,952.62",274,1,20,335
5,XIII,Surigao del Sur,province,"642,255","592,250",1.72%,"4,932.70",130,2,17,309
0,BARMM,Basilan,province,"426,207","346,579",4.45%,"3,453.42",123,1,11,210
1,BARMM,Lanao del Sur,province,"1,195,518","1,045,429",2.86%,"15,055.51",79,1,39,"1,159"
2,BARMM,Maguindanao,province,"1,342,179","1,173,933",2.86%,"9,968.31",135,0,36,508
3,BARMM,Sulu,province,"1,000,108","824,731",4.14%,"4,547.16",220,0,19,410
4,BARMM,Tawi-Tawi,province,"440,276","390,715",2.55%,"3,626.55",121,0,11,203
